LONGITUDE,LATITUDE,VALUE
-96,12.84422,0.335677885
-88,12.84422,0.47811237799999995
-80,12.84422,0.485781202
-72,12.84422,0.450662302
-64,12.84422,0.470487039
-56,12.84422,0.430884072
-48,12.84422,0.301074114
-40,12.84422,0.295965121
-32,12.84422,0.315246067
-24,12.84422,0.405226634
-16,12.84422,0.475687917
40,12.84422,0.35311192799999996
48,12.84422,0.42817383700000006
56,12.84422,0.423615312
64,12.84422,0.282697845
72,12.84422,0.495084455
80,12.84422,0.53287188
88,12.84422,0.436721604
96,12.84422,0.532381019
104,12.84422,0.494759556
112,12.84422,0.5736654520000001
120,12.84422,0.6864320420000001
128,12.84422,0.608192685
136,12.84422,0.412776783
144,12.84422,0.43492425700000004
152,12.84422,0.390573393
160,12.84422,0.386916288
168,12.84422,0.36637223700000005
176,12.84422,0.286785692
-176,4.72115,0.26043241699999997
-168,4.72115,0.272389066
-160,4.72115,0.292712033
-152,4.72115,0.259265609
-144,4.72115,0.268068407
-136,4.72115,0.263212199
-128,4.72115,0.272600242
-120,4.72115,0.271478187
-112,4.72115,0.269827017
-104,4.72115,0.247785548
-96,4.72115,0.328686372
-88,4.72115,0.379738061
-80,4.72115,0.46441046799999997
-56,4.72115,0.38807961399999996
-48,4.72115,0.346041883
-40,4.72115,0.310586397
-32,4.72115,0.307555454
-24,4.72115,0.343732738
-16,4.72115,0.40874241299999997
-8,4.72115,0.390813389
0,4.72115,0.395091374
8,4.72115,0.365616568
48,4.72115,0.421938076
56,4.72115,0.340217415
64,4.72115,0.272090956
72,4.72115,0.507976653
80,4.72115,0.538786172
88,4.72115,0.362944499
96,4.72115,0.566620883
104,4.72115,0.540856416
112,4.72115,0.585014037
120,4.72115,0.62467563
128,4.72115,0.578551559
136,4.72115,0.48931564
144,4.72115,0.42712822200000006
152,4.72115,0.43520248
160,4.72115,0.39243026700000005
168,4.72115,0.38086259
176,4.72115,0.35812254200000004
-176,-3.3057,0.31958517399999997
-168,-3.3057,0.320029384
-160,-3.3057,0.295153178
-152,-3.3057,0.297340331
-144,-3.3057,0.259159107
-136,-3.3057,0.284433956
-128,-3.3057,0.288109098
-120,-3.3057,0.285762825
-112,-3.3057,0.267365967
-104,-3.3057,0.255137171
-96,-3.3057,0.306919507
-88,-3.3057,0.32775191800000003
-80,-3.3057,0.320725843
-48,-3.3057,0.308519031
-40,-3.3057,0.35208184600000003
-32,-3.3057,0.36545381899999996
-24,-3.3057,0.310067685
-16,-3.3057,0.314269039
-8,-3.3057,0.33797119200000003
0,-3.3057,0.335133222
8,-3.3057,0.404559842
40,-3.3057,0.460992661
48,-3.3057,0.39192182
56,-3.3057,0.40770391
64,-3.3057,0.287745862
72,-3.3057,0.390588239
80,-3.3057,0.297505815
88,-3.3057,0.295118808
96,-3.3057,0.483971705
104,-3.3057,0.605473707
112,-3.3057,0.519871263
120,-3.3057,0.548722347
128,-3.3057,0.566865756
136,-3.3057,0.5634374289999999
144,-3.3057,0.535474185
152,-3.3057,0.51828179
160,-3.3057,0.419216239
168,-3.3057,0.373269074
176,-3.3057,0.355724527
-176,-11.3996,0.385829528
-168,-11.3996,0.34544771399999996
-160,-11.3996,0.321551568
-152,-11.3996,0.326897438
