"GRIDCODE,N,10,0","X_COORD,N,18,5","Y_COORD,N,18,5","AllTaxa,N,19,11","AllNorm,N,19,11","CoastNorm,N,19,11","OceanNorm,N,19,11"
174,128,30.1738,1975.807384,0.733517745,0.617054339,0.869391719
175,136,30.1738,1419.15252538,0.666606948,0.491280964,0.87115393
176,144,30.1738,732.5244678,0.486713221,0.263602942,0.747008547
177,152,30.1738,112.617463788,0.297953537,0.016326531,0.626518377
178,160,30.1738,108.710454704,0.284530636,0.017700157,0.595832862
179,168,30.1738,101.671314894,0.270332197,0.016326531,0.56667214
180,176,30.1738,105.661752319,0.270348495,0.017344251,0.565520114
181,-176,21.24611,154.955040554,0.298155162,0.049016688,0.588816714
182,-168,21.24611,381.3395296,0.333262331,0.070340523,0.64000444
183,-160,21.24611,759.7230769,0.396051413,0.127441659,0.709429459
184,-152,21.24611,638.849373522,0.372287706,0.111225545,0.676860227
185,-144,21.24611,104.977877673,0.299215798,0.012244898,0.634015182
186,-136,21.24611,102.995956115,0.287256211,0.008163265,0.612864647
187,-128,21.24611,104.290507807,0.29136709,0.008163265,0.621771552
188,-120,21.24611,115.970633665,0.314534451,0.049005756,0.624317928
189,-112,21.24611,810.308019275,0.409505814,0.197988032,0.65627656
190,-104,21.24611,831.566414281,0.339088808,0.179180819,0.525648128
191,-96,21.24611,595.7202381,0.415093546,0.213309283,0.650508519
192,-88,21.24611,741.94633837,0.461430044,0.27538973,0.678477078
193,-80,21.24611,1092.6363636,0.519611481,0.335888522,0.733954934
194,-72,21.24611,1587.877355,0.478194633,0.305223362,0.67999445
195,-64,21.24611,897.0104167,0.415490533,0.260974022,0.595759796
196,-56,21.24611,113.968115687,0.323752581,0.094851274,0.590804106
197,-48,21.24611,98.33333333,0.263449497,0.052687229,0.509338809
198,-40,21.24611,105,0.29491504,0.049939976,0.580719281
199,-32,21.24611,117,0.326255494,0.062184874,0.634337884
200,-24,21.24611,361.4093757,0.417572176,0.130606308,0.75236569
201,-16,21.24611,419.6570697,0.474864318,0.226031021,0.76516983
208,40,21.24611,1315.05555404,0.301485951,0.309719933,0.291879639
210,56,21.24611,1171.8546097,0.380068315,0.286898194,0.488766789
211,64,21.24611,1095.72080053,0.36160969,0.266598354,0.472456247
