LATITUDE,LONGITUDE,PLASTIC,BIODIVERSITY
16.45,158.56,3.29,0.386916288
17.49,157.54,18.89,0.284634604
17.96,157.08,188.26,0.284634604
32.81,156.5,21.62,0.284530636
19.43,156.14,49.13,0.284634604
19.66,155.11,5.630000000000001,0.298120454
20.51,155.18,33.059999999999995,0.298120454
21.58,155.34,7.909999999999998,0.298120454
22.46,155.3,50.63,0.298120454
23.41,155.23,137.1,0.298120454
24.29,155.09,177.3,0.298120454
25.1,154.16,51.6,0.298120454
25.71,153.24,378.64,0.297953537
26.35,152.3,174.18,0.297953537
27.08,151.36,197.21,0.297953537
27.85,150.26,2131.7700000000004,0.297953537
28.56,149.3,63.05,0.297953537
29.73,148.05,198.4,0.297953537
33.26,151.18,83.19,0.297953537
32.09,153.17,83.28,0.297953537
31.27,155.32,324.54,0.297953537
30.73,157.77,247.87,0.284530636
30.19,160.4,92.38,0.284530636
30.44,163.32,46.14,0.284530636
30.5,166.08,89.15,0.270332197
30.08,168.13,347.29,0.270332197
29.2,169.83,80.03,0.270332197
29.41,172.01,365.77,0.270348495
28.48,175.32,701.31,0.270348495
30.28,-176.83,84.1,0.297257599
31.13,-174.3,1985.1,0.297257599
-33.13,-81.24,0.33,0.26018645100000004
-33.11,-82.39,0.0,0.26018645100000004
-33.02,-83.42,0.0,0.26018645100000004
-32.91,-84.49,2.73,0.256026045
-32.8,-86.24,10.63,0.256026045
-32.73,-86.38,1.48,0.256026045
-32.57,-87.42,1.17,0.256026045
-32.38,-88.11,77.96,0.256026045
-32.21,-89.43,3.28,0.256026045
-31.98,-90.41,8.84,0.256026045
-31.81,-91.34,1.02,0.256026045
-31.58,-92.34,30.66,0.213380922
-31.39,-93.35,25.28,0.213380922
-31.17,-94.32,13.6,0.213380922
-30.95,-95.35,10.2,0.213380922
-30.57,-96.2,46.56,0.213380922
-30.24,-97.09,69.98,0.213380922
-29.9,-97.93,97.72,0.213380922
-29.56,-98.81,105.04,0.213380922
-29.34,-99.8,81.4,0.213380922
-29.19,-100.74,308.04,0.221217885
-29.05,-101.73,730.83,0.221217885
-28.89,-102.58,219.55,0.221217885
-28.73,-103.55,84.42999999999998,0.221217885
-28.58,-104.4,170.17999999999995,0.221217885
-28.33,-105.33,184.87,0.221217885
-28.19,-106.31,88.91,0.221217885
-27.88,-107.25,38.57,0.221217885
-27.55,-108.05,375.02,0.241398899
-27.28,-108.94,206.07,0.241398899
-27.02,-110.98,154.6,0.241398899
-26.87,-111.91,110.63,0.241398899
-26.7,-112.87,18.33,0.241398899
-26.6,-113.86,4.69,0.241398899
-26.54,-114.83,2.43,0.241398899
-26.33,-115.74,8.44,0.241398899
-26.24,-116.68,20.58,0.239509795
-26.16,-117.58,27.26,0.239509795
-26.07,-118.51,2.99,0.239509795
-26.04,-119.43,4.739999999999998,0.239509795
-25.95,-120.43,18.41,0.239509795
-25.86,-121.34,1.01,0.239509795
-25.55,-122.2,1.38,0.239509795
-25.27,-123.25,1.87,0.239509795
-24.97,-123.94,4.050000000000002,0.239509795
-24.65,-124.79,12.94,0.260112606
-24.58,-125.73,13.79,0.260112606
-24.5,-126.62,3.48,0.260112606
-26.55,106.87,9.39,0.290154642
-24.39,99.51,15.33,0.278496103
-24.49,98.11,7.239999999999998,0.278496103
-24.49,96.44,385.04,0.278496103
-24.02,94.82,46.85,0.262535468
-21.41,75.3,34.72,0.264247567
-21.27,72.15,82.94,0.264247567
-21.05,68.44,580.5500000000002,0.264247567
-20.68,64.94,7635.44,0.354836437
-20.25,61.67,110.15,0.354836437
43.68,7.7,0.0,0.311905492
43.77,8.03,0.0,0.311905492
44.17,8.99,0.0,0.311905492
44.29,9.2,0.0,0.311905492
43.88,9.34,0.0,0.311905492
43.2,9.0,0.0,0.311905492
42.89,10.23,0.0,0.311905492
42.84,10.28,0.0,0.311905492
42.98,9.32,0.0,0.311905492
42.73,9.03,0.0,0.311905492
42.87,8.26,0.0,0.311905492
42.86,8.32,0.0,0.311905492
42.8,8.42,0.0,0.311905492
42.76,8.47,0.0,0.311905492
42.73,8.51,0.0,0.311905492
42.69,8.57,0.0,0.311905492
42.65,8.61,0.0,0.311905492
42.62,8.66,0.0,0.311905492
42.6,8.72,0.0,0.311905492
42.82,8.36,0.0,0.311905492
43.25,8.07,0.0,0.311905492
43.55,8.63,0.0,0.311905492
43.45,8.36,0.0,0.311905492
43.08,6.38,0.0,0.311905492
43.0,6.37,0.0,0.311905492
43.06,5.88,0.0,0.311905492
43.32,5.19,0.0,0.311905492
43.32,5.2,0.0,0.311905492
43.32,5.17,0.0,0.311905492
43.3,5.25,0.0,0.311905492
43.26,4.94,0.0,0.311905492
43.01,4.4,0.0,0.311905492
42.81,3.93,0.0,0.375347002
42.53,3.13,0.0,0.375347002
42.46,3.3,0.0,0.375347002
42.33,3.48,0.0,0.375347002
42.25,3.65,0.0,0.375347002
42.24,8.52,0.0,0.311905492
42.32,8.58,0.0,0.311905492
43.57,7.39,0.0,0.311905492
-60.34,-60.53,56.58,0.187276598
-63.88,-56.09,28.91,0.166976285
-63.39,-56.8,1.24,0.166976285
-57.76,-67.0,0.55,0.187276598
-39.63,-76.98,0.27,0.217277899
-34.17,-73.09,0.96,0.203506048
-33.69,-72.0,6.71,0.203506048
14.56,160.75,0.0,0.386916288
14.56,160.75,0.0,0.386916288
15.79,159.2,0.0,0.386916288
15.79,159.2,0.0,0.386916288
17.49,157.54,0.0,0.284634604
19.31,156.22,0.0,0.284634604
22.05,155.42,5547.2,0.298120454
23.9,155.24,2516.53,0.298120454
23.9,155.24,1347.32,0.298120454
25.1,154.15,50242.43,0.298120454
26.36,152.28,27365.59,0.297953537
26.71,151.78,14993.25,0.297953537
27.79,150.35,5980.93,0.297953537
27.89,150.19,4269.14,0.297953537
27.89,150.19,8718.71,0.297953537
30.04,147.59,0.0,0.486713221
32.89,143.73,22273.71,0.486713221
32.98,143.43,5053.73,0.486713221
32.98,143.43,25112.77,0.486713221
32.16,152.46,117.77,0.297953537
32.04,153.19,1591.3,0.297953537
32.01,153.38,5137.52,0.297953537
32.04,153.21,11961.28,0.297953537
31.08,155.33,7096.95,0.297953537
30.58,156.11,21573.72,0.284530636
31.05,155.46,10073.41,0.297953537
30.41,157.51,719.62,0.284530636
30.4,158.02,2234.65,0.284530636
30.39,158.04,275.16,0.284530636
30.2,158.42,68584.08,0.284530636
30.12,158.55,2518.52,0.284530636
30.1,160.01,121648.92,0.284530636
30.14,160.53,24060.63,0.284530636
30.12,160.39,7026.2,0.284530636
30.19,161.34,3447.62,0.284530636
30.12,160.31,35332.32,0.284530636
30.26,163.04,6506.03,0.284530636
30.28,163.59,28986.22,0.284530636
30.29,164.22,38155.87,0.270332197
30.3,166.09,32510.55,0.270332197
30.34,166.22,13482.59,0.270332197
30.33,166.2,19526.08,0.270332197
30.42,166.46,42512.53,0.270332197
29.58,168.22,7079.45,0.270332197
29.53,168.35,3389.29,0.270332197
29.1,170.03,222.6,0.270332197
28.55,173.1,3165.81,0.270348495
29.01,172.49,5039.73,0.270348495
29.15,172.27,1694.73,0.270348495
29.11,170.31,56.76,0.270332197
28.34,175.11,1230.49,0.270348495
28.24,175.24,387.59,0.270348495
29.51,179.45,6288.81,0.270348495
30.01,-178.56,11386.79,0.297257599
30.04,-178.41,11706.23,0.297257599
30.22,-176.45,10595.21,0.297257599
30.25,-176.28,10471.3,0.297257599
30.29,-176.14,68099.52,0.297257599
30.34,-175.52,1291.78,0.297257599
31.1,-174.14,11305.9,0.297257599
31.15,-174.04,3051.81,0.297257599
31.26,-173.47,14286.82,0.297257599
31.38,-173.27,21109.21,0.297257599
30.3,-173.04,8064.22,0.297257599
30.55,-172.37,12605.35,0.297257599
31.03,-172.27,5125.96,0.297257599
30.83,-146.9,40130.15,0.288488363
33.54,-144.92,20252.1,0.288488363
36.25,-142.93,50315.89,0.267364709
36.45,-137.17,19616.64,0.27906098100000004
25.67,-158.03,4284.53,0.396051413
28.37,-157.35,3867.61,0.301794413
33.65,-155.17,4198.36,0.31240795600000004
34.93,-151.12,16169.93,0.31240795600000004
36.12,-147.03,34712.57,0.267364709
37.48,-142.1,6109.85,0.267364709
37.85,-138.0,277.21,0.27906098100000004
27.57,-154.2,98.82,0.31240795600000004
29.73,-150.62,4750.31,0.31240795600000004
31.07,-148.8,8854.48,0.31240795600000004
32.57,-147.42,3879.38,0.288488363
34.43,-145.82,3546.05,0.288488363
36.5,-144.9,7447.62,0.267364709
37.97,-143.48,4459.81,0.267364709
27.57,-157.38,89.44,0.301794413
30.95,-157.35,694.34,0.301794413
33.4,-156.93,4463.17,0.301794413
34.5,-153.25,2189.57,0.31240795600000004
35.42,-149.88,4397.28,0.27767429
36.0,-146.33,2131.34,0.267364709
36.5,-142.08,1794.93,0.267364709
37.17,-138.92,1009.66,0.27906098100000004
37.15,-138.9,24.56,0.27906098100000004
36.27,-148.54,34438.77,0.27767429
35.62,-139.9,4551.01,0.27906098100000004
35.4,-136.77,2255.39,0.27906098100000004
22.42,-159.52,26.42,0.396051413
24.67,-159.47,0.0,0.396051413
27.49,-158.3,315.54,0.301794413
32.35,-157.6,4870.07,0.301794413
33.95,-155.83,8941.12,0.31240795600000004
35.87,-152.53,9651.0,0.27767429
37.07,-148.65,5246.81,0.27767429
36.13,-142.15,108840.82,0.267364709
35.55,-139.44,4800.05,0.27906098100000004
34.81,-136.82,549.35,0.288517194
34.59,-133.74,832.35,0.288517194
34.74,-131.54,25.08,0.35537263700000005
34.67,-129.16,1058.45,0.35537263700000005
31.64,-158.02,0.0,0.301794413
33.12,-158.15,68.6,0.301794413
33.68,-158.05,1216.62,0.301794413
34.05,-157.98,2581.77,0.301794413
35.57,-157.58,1333.22,0.269339965
35.42,-157.4,381.87,0.269339965
34.43,-155.89,651.23,0.31240795600000004
33.89,-155.53,0.0,0.31240795600000004
33.27,-154.5,5747.89,0.31240795600000004
33.37,-154.25,13037.53,0.31240795600000004
32.36,-152.8,17516.89,0.31240795600000004
32.32,-151.37,80.03,0.31240795600000004
33.88,-148.68,151.35,0.31240795600000004
34.9,-147.23,0.0,0.288488363
35.73,-146.02,6123.69,0.267364709
35.59,-141.49,0.0,0.267364709
35.12,-153.17,10339.38,0.27767429
37.27,-151.9,246.07,0.27767429
36.98,-150.82,900.48,0.27767429
36.9,-149.3,6837.65,0.27767429
37.17,-146.08,4295.55,0.267364709
34.23,-162.16,1546.89,0.301794413
40.19,-162.36,6321.8,0.269339965
41.88,-161.36,4365.36,0.269339965
44.14,-158.78,0.0,0.269339965
27.23,-156.28,27660.01,0.301794413
29.05,-155.37,51093.23,0.31240795600000004
30.8,-153.15,24194.55,0.31240795600000004
32.7,-151.02,27406.77,0.31240795600000004
37.77,-144.63,0.0,0.267364709
38.22,-142.48,5387.87,0.267364709
33.37,-154.73,416.76,0.31240795600000004
33.52,-154.88,10103.05,0.31240795600000004
35.22,-153.27,14958.41,0.27767429
35.22,-153.27,13387.19,0.27767429
36.1,-151.78,104042.16,0.27767429
32.33,-155.93,113.34,0.31240795600000004
31.6,-157.43,2176.74,0.301794413
36.22,-151.5,14718.12,0.27767429
37.18,-148.6,12096.02,0.27767429
23.25,-157.98,0.0,0.396051413
