LATITUDE,LONGITUDE,TOTAL__G_KM_
41.98,-143.22,0.0
26.38,-156.93,1907.73
27.88,-155.52,2079.92
29.55,-153.57,9758.53
31.12,-151.33,672.45
32.7,-149.73,141.44
36.25,-146.93,0.0
37.63,-146.02,34.92
37.87,-143.33,627.97
38.08,-141.02,143.67
38.17,-137.68,717.39
38.32,-134.77,0.0
38.15,-132.2,42.95
23.25,-156.88,0.0
24.53,-155.18,0.0
26.12,-153.32,1521.46
27.83,-151.33,9781.71
29.97,-149.95,11102.41
32.27,-148.85,0.0
34.72,-147.73,1490.86
36.4,-146.37,3012.77
36.72,-143.92,2853.59
36.75,-141.3,0.0
36.9,-138.77,0.0
37.32,-135.83,0.0
36.55,-148.98,32969.78
36.63,-146.62,11054.42
24.53,-157.97,0.0
28.72,-156.68,663.75
31.57,-153.58,6725.89
34.58,-151.52,30559.18
37.25,-148.88,0.0
39.33,-147.32,0.0
39.22,-142.85,0.0
38.8,-138.69,2112.68
38.85,-134.1,0.0
38.58,-130.13,0.0
39.1,-125.32,4263.41
28.27,-157.42,905.11
33.98,-156.04,12979.45
36.5,-155.27,120047.68
37.48,-156.68,19596.52
37.54,-152.48,18625.32
37.53,-152.23,1585.1
37.27,-145.27,3160.07
31.13,-159.52,290.91
34.18,-159.17,6524.58
36.18,-158.22,1947.45
29.82,-156.97,1708.99
30.93,-156.57,635.08
32.9,-155.67,962.99
32.38,-154.65,6515.52
33.98,-151.33,16280.18
35.98,-148.82,7834.67
37.38,-146.03,12667.55
37.1,-142.03,58.65
26.09,-157.34,2217.1
36.31,-150.93,0.0
35.78,-149.31,34583.88
32.95,-159.55,6786.41
38.97,-161.78,740.47
40.12,-162.95,16140.45
43.07,-160.27,70.14
46.65,-151.72,0.0
38.08,-152.35,360.59
35.77,-153.64,5003.65
37.89,-149.57,21821.29
38.0,-141.99,0.0
38.19,-138.8,190.41
36.64,-128.15,0.0
35.77,-124.5,0.0
24.37,-156.17,0.0
27.48,-154.3,0.0
32.4,-150.97,46647.82
36.55,-146.5,911.94
36.1,-142.9,41348.58
35.7,-139.95,758.91
36.0,-136.1,4899.22
22.13,-158.08,0.0
22.83,-158.67,0.0
24.25,-156.78,1240.33
25.53,-155.5,0.0
26.63,-154.17,0.0
30.5,-150.47,422.21
31.4,-148.12,0.0
35.18,-147.7,693.55
33.42,-144.77,0.0
33.72,-139.45,22786.14
33.17,-136.43,0.0
31.57,-132.3,0.0
31.52,-127.87,0.0
34.17,-119.8,0.0
31.26,-158.12,3503.51
31.63,-156.07,13586.79
33.06,-153.9,30962.47
32.98,-154.15,72310.85
29.07,-155.06,564.44
30.03,-155.03,50.39
30.99,-154.77,17649.01
30.99,-154.24,5736.7
30.78,-152.9,3800.82
30.67,-152.48,7506.86
30.67,-150.89,76836.1
30.9,-150.44,63786.24
31.49,-149.25,48641.44
31.99,-148.98,40809.91
32.9,-148.07,139259.99
33.27,-147.61,53054.33
34.4,-146.67,31693.1
34.77,-146.36,38084.44
35.23,-144.79,5813.64
35.3,-144.2,19225.32
35.6,-142.14,2544.12
35.48,-141.52,7213.12
35.42,-139.39,7172.64
35.46,-138.78,6092.02
30.25,-156.6,3073.13
30.51,-156.32,12402.44
32.03,-154.38,48846.15
33.05,-151.57,234435.64
34.25,-149.0,177134.99
35.63,-146.83,308741.06
36.78,-144.82,134846.88
38.57,-142.18,39544.12
21.9,-157.8,0.0
24.91,-157.43,0.0
24.02,-157.69,448.77
27.73,-157.12,1735.32
26.89,-157.16,460.14
30.4,-157.08,0.0
29.67,-157.13,782.41
32.51,-156.49,1993.38
31.88,-156.77,33003.05
33.8,-155.55,1260.53
34.31,-155.33,5593.77
35.63,-154.14,520.94
36.19,-153.26,24315.54
37.69,-150.3,1013.17
37.18,-151.17,11304.63
39.72,-147.57,30740.78
39.16,-148.25,1694.62
41.22,-146.61,24682.9
41.67,-146.33,3900.68
5.62,83.0,0.0
5.66,83.32,0.0
5.9,85.04,1154.4
6.19,87.27,11589.36
6.17,87.01,0.0
5.95,85.53,5787.64
5.92,85.26,1951.57
6.45,89.09,0.0
6.2,87.37,407.69
6.49,92.05,464.65
6.61,90.77,2370.14
6.63,90.6,15762.43
6.51,92.35,11837.28
6.5,92.28,29085.88
6.66,93.96,0.0
6.63,93.86,0.0
-32.86,-72.72,2934.21
-32.8,-73.7,0.0
-32.5,-77.45,0.0
-32.38,-78.58,0.0
-32.3,-79.29,0.0
-31.91,-82.89,0.0
-31.77,-84.17,0.0
-31.64,-85.33,0.0
-31.2,-88.65,0.0
-31.04,-89.52,0.0
-30.8,-90.9,669.31
-30.02,-94.44,479.7
-29.75,-95.58,0.0
-29.49,-96.58,197.89
-28.57,-99.84,4541.06
-28.18,-101.09,6189.05
-27.85,-102.14,2249.58
-26.48,-105.43,3013.17
-26.63,-106.52,323.0
-27.43,-108.86,3654.02
-27.69,-108.0,3372.3
-28.71,-104.6,2531.53
-29.0,-103.55,3901.18
-29.19,-102.8,3290.61
-30.04,-99.34,516.8
-30.31,-98.17,656.86
-30.48,-97.3,704.72
-31.09,-94.22,0.0
-31.33,-92.97,468.78
-31.45,-92.17,586.29
-32.0,-88.49,0.0
-32.18,-87.3,0.0
-32.28,-86.4,0.0
-32.69,-82.33,0.0
-32.81,-81.18,0.0
-32.84,-80.28,0.0
-32.98,-77.07,0.0
-33.04,-75.78,0.0
-33.01,-72.04,137.48
36.05,-33.93,116.21
35.21,-33.92,7.09
